id,title,date_recorded,duration,language_name,category,subcategories,thumbnail_url,audio_url,mp4_url,m3u8_url,speaker_name_first,speaker_name_last
368347,The Correct Time for Sefirat HaOmer,2025-05-11,3819,English,Holidays,Omer,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/368347/368347-sw4a48.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/368347/368347-sw45vy.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp4/368347-sw45vy.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/368347/sw45vy/master.m3u8,Asher,Weiss
368201,7th Chemed Medicine & Ethics Conference: Organ Donation After Cardiac Death,2025-05-10,2639,English,Halacha/Jewish Law,,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/368201/368201-sw28ez.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/368201/368201-sw26qc.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp4/368201-sw26qc.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/368201/sw26qc/master.m3u8,Asher,Weiss
367987,The Unique Qualities of Mitzva V'Ohavta L'rayacha Kamocha,2025-05-09,2310,English,Parasha/Torah Portion,Acharei Mot-Kedoshim,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/367987/367987-svzlxp.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/367987/367987-svzkp5.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp4/367987-svzkp5.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/367987/svzkp5/master.m3u8,Asher,Weiss
367850,מסר קצר לימי העומר,2025-05-08,533,Hebrew,Holidays,Omer,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/367850/367850-svynkq.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/367850/367850-svymg5.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp4/367850-svymg5.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/367850/svymg5/master.m3u8,Asher,Weiss
367321,פרשת אחרי מות קדושים: ואהבת לרעך כמוך,2025-05-06,3087,Hebrew,Parasha/Torah Portion,Acharei Mot-Kedoshim,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/367321/367321-svugce.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/367321/367321-svubla.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp4/367321-svubla.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/367321/svubla/master.m3u8,Asher,Weiss
366906,Parshas Acharei-Mot Kedoshim: The Mitzvah of V'Ohavta L'rayacha Kamocha,2025-05-05,3735,English,Parasha/Torah Portion,Acharei Mot-Kedoshim,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/366906/366906-svrye2.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/366906/366906-svrx8b.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp4/366906-svrx8b.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/366906/svrx8b/master.m3u8,Asher,Weiss
366799,Short Thought on the Aveilos of Sefiras HaOmer,2025-05-04,762,English,Holidays,Omer,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/366799/366799-svr77c.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/366799/366799-svr6yp.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp4/366799-svr6yp.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/366799/svr6yp/master.m3u8,Asher,Weiss
366567,The Mitzvah of Sefiras HaOmer,2025-05-03,2092,English,Holidays,Omer,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/366567/366567-svpbvi.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/366567/366567-svpaaw.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp4/366567-svpaaw.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/366567/svpaaw/master.m3u8,Asher,Weiss
366415,Short Thought on Sefirat HaOmer,2025-05-02,803,English,Holidays,Omer,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/366415/366415-svmm2r.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/366415/366415-svmlo5.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp4/366415-svmlo5.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/366415/svmlo5/master.m3u8,Asher,Weiss
366133,פרדס שלמה טעגליך: פ' תזו''מ,2025-05-01,576,Yiddish,Parasha/Torah Portion,Tazria-Metzora,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/366133/366133-svkqgp.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/366133/366133-svkqgs.mp3,,,Asher,Weiss
